22:06:01.273 [INFO] (off_policy_trainer_carla.py:497) Total Episode:     1 Steps:     202 Episode Steps:   202 Return: -1.0000 Success:  0.00, D: 0.00 FPS:37.72
22:06:04.158 [INFO] (off_policy_trainer_carla.py:497) Total Episode:     2 Steps:     334 Episode Steps:   132 Return: -1.0000 Success:  0.00, D: 0.00 FPS:45.81
22:06:08.227 [INFO] (off_policy_trainer_carla.py:497) Total Episode:     3 Steps:     556 Episode Steps:   222 Return:  0.0000 Success:  0.00, D: 0.00 FPS:54.60
22:06:13.211 [INFO] (off_policy_trainer_carla.py:497) Total Episode:     4 Steps:     858 Episode Steps:   302 Return:  0.0000 Success:  0.00, D: 0.00 FPS:60.63
22:06:17.179 [INFO] (off_policy_trainer_carla.py:497) Total Episode:     5 Steps:    1067 Episode Steps:   209 Return:  1.0000 Success:  0.05, D: 0.00 FPS:52.70
22:06:21.168 [INFO] (off_policy_trainer_carla.py:497) Total Episode:     6 Steps:    1283 Episode Steps:   216 Return:  1.0000 Success:  0.10, D: 0.00 FPS:54.17
22:06:23.901 [INFO] (off_policy_trainer_carla.py:497) Total Episode:     7 Steps:    1393 Episode Steps:   110 Return: -1.0000 Success:  0.10, D: 0.00 FPS:40.30
22:06:27.681 [INFO] (off_policy_trainer_carla.py:497) Total Episode:     8 Steps:    1592 Episode Steps:   199 Return:  1.0000 Success:  0.15, D: 0.00 FPS:52.66
22:06:31.341 [INFO] (off_policy_trainer_carla.py:497) Total Episode:     9 Steps:    1773 Episode Steps:   181 Return:  0.0000 Success:  0.15, D: 0.00 FPS:49.49
22:06:34.099 [INFO] (off_policy_trainer_carla.py:497) Total Episode:    10 Steps:    1889 Episode Steps:   116 Return: -1.0000 Success:  0.15, D: 0.00 FPS:42.09
22:06:37.806 [INFO] (off_policy_trainer_carla.py:497) Total Episode:    11 Steps:    2076 Episode Steps:   187 Return:  0.0000 Success:  0.15, D: 0.00 FPS:50.48
22:06:41.808 [INFO] (off_policy_trainer_carla.py:497) Total Episode:    12 Steps:    2293 Episode Steps:   217 Return:  1.0000 Success:  0.20, D: 0.00 FPS:54.26
22:06:46.103 [INFO] (off_policy_trainer_carla.py:497) Total Episode:    13 Steps:    2522 Episode Steps:   229 Return:  1.0000 Success:  0.25, D: 0.00 FPS:53.34
22:06:49.781 [INFO] (off_policy_trainer_carla.py:497) Total Episode:    14 Steps:    2696 Episode Steps:   174 Return:  1.0000 Success:  0.30, D: 0.00 FPS:47.36
22:06:53.577 [INFO] (off_policy_trainer_carla.py:497) Total Episode:    15 Steps:    2882 Episode Steps:   186 Return:  1.0000 Success:  0.35, D: 0.00 FPS:49.02
22:06:58.856 [INFO] (off_policy_trainer_carla.py:497) Total Episode:    16 Steps:    3184 Episode Steps:   302 Return:  0.0000 Success:  0.35, D: 0.00 FPS:57.29
22:07:02.984 [INFO] (off_policy_trainer_carla.py:497) Total Episode:    17 Steps:    3387 Episode Steps:   203 Return:  1.0000 Success:  0.40, D: 0.00 FPS:49.21
22:07:07.093 [INFO] (off_policy_trainer_carla.py:497) Total Episode:    18 Steps:    3592 Episode Steps:   205 Return:  1.0000 Success:  0.45, D: 0.00 FPS:49.93
22:07:12.184 [INFO] (off_policy_trainer_carla.py:497) Total Episode:    19 Steps:    3811 Episode Steps:   219 Return:  1.0000 Success:  0.50, D: 0.00 FPS:43.04
22:07:18.052 [INFO] (off_policy_trainer_carla.py:497) Total Episode:    20 Steps:    4113 Episode Steps:   302 Return:  0.0000 Success:  0.50, D: 0.00 FPS:51.49
22:07:23.222 [INFO] (off_policy_trainer_carla.py:497) Total Episode:    21 Steps:    4415 Episode Steps:   302 Return:  0.0000 Success:  0.50, D: 0.00 FPS:58.44
22:07:25.832 [INFO] (off_policy_trainer_carla.py:497) Total Episode:    22 Steps:    4523 Episode Steps:   108 Return: -1.0000 Success:  0.50, D: 0.00 FPS:41.41
22:07:28.278 [INFO] (off_policy_trainer_carla.py:497) Total Episode:    23 Steps:    4622 Episode Steps:    99 Return: -1.0000 Success:  0.50, D: 0.00 FPS:40.51
22:07:32.549 [INFO] (off_policy_trainer_carla.py:497) Total Episode:    24 Steps:    4860 Episode Steps:   238 Return:  1.0000 Success:  0.55, D: 0.00 FPS:55.77
22:07:35.693 [INFO] (off_policy_trainer_carla.py:497) Total Episode:    25 Steps:    4998 Episode Steps:   138 Return:  0.0000 Success:  0.50, D: 0.00 FPS:43.92
22:09:11.632 [INFO] (off_policy_trainer_carla.py:497) Total Episode:    26 Steps:    5227 Episode Steps:   229 Return:  1.0000 Success:  0.50, D: 0.00 FPS: 2.39
22:09:30.563 [INFO] (off_policy_trainer_carla.py:497) Total Episode:    27 Steps:    5352 Episode Steps:   125 Return: -1.0000 Success:  0.50, D: 0.00 FPS: 6.60
22:10:02.304 [INFO] (off_policy_trainer_carla.py:497) Total Episode:    28 Steps:    5567 Episode Steps:   215 Return:  1.0000 Success:  0.50, D: 0.00 FPS: 6.77
22:10:27.242 [INFO] (off_policy_trainer_carla.py:497) Total Episode:    29 Steps:    5734 Episode Steps:   167 Return: -1.0000 Success:  0.50, D: 0.00 FPS: 6.70
22:10:55.224 [INFO] (off_policy_trainer_carla.py:497) Total Episode:    30 Steps:    5921 Episode Steps:   187 Return:  0.0000 Success:  0.50, D: 0.00 FPS: 6.68
22:11:28.039 [INFO] (off_policy_trainer_carla.py:497) Total Episode:    31 Steps:    6142 Episode Steps:   221 Return:  1.0000 Success:  0.55, D: 0.00 FPS: 6.74
22:11:46.489 [INFO] (off_policy_trainer_carla.py:497) Total Episode:    32 Steps:    6263 Episode Steps:   121 Return: -1.0000 Success:  0.50, D: 0.00 FPS: 6.56
22:12:05.023 [INFO] (off_policy_trainer_carla.py:497) Total Episode:    33 Steps:    6384 Episode Steps:   121 Return: -1.0000 Success:  0.45, D: 0.00 FPS: 6.53
22:12:38.232 [INFO] (off_policy_trainer_carla.py:497) Total Episode:    34 Steps:    6608 Episode Steps:   224 Return:  1.0000 Success:  0.45, D: 0.00 FPS: 6.75
22:12:53.775 [INFO] (off_policy_trainer_carla.py:497) Total Episode:    35 Steps:    6709 Episode Steps:   101 Return: -1.0000 Success:  0.40, D: 0.00 FPS: 6.50
22:13:26.894 [INFO] (off_policy_trainer_carla.py:497) Total Episode:    36 Steps:    6934 Episode Steps:   225 Return:  1.0000 Success:  0.45, D: 0.00 FPS: 6.79
22:13:59.641 [INFO] (off_policy_trainer_carla.py:497) Total Episode:    37 Steps:    7154 Episode Steps:   220 Return:  1.0000 Success:  0.45, D: 0.00 FPS: 6.72
22:14:31.049 [INFO] (off_policy_trainer_carla.py:497) Total Episode:    38 Steps:    7366 Episode Steps:   212 Return:  0.0000 Success:  0.40, D: 0.00 FPS: 6.75
22:14:48.363 [INFO] (off_policy_trainer_carla.py:497) Total Episode:    39 Steps:    7479 Episode Steps:   113 Return: -1.0000 Success:  0.35, D: 0.00 FPS: 6.53
